Step #0.00 (0ms ?*RT. ?UPS, TraCI: 0ms, vehicles TOT 1 ACT 1 BUF 0)                       
Step #745.00 (1ms ~= 50.00*RT, ~121000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 121 BUF 0) 
Step #750.00 (1ms ~= 50.00*RT, ~121000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 121 BUF 0) 
Step #755.00 (1ms ~= 50.00*RT, ~119000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 119 BUF 0) 
Step #760.00 (1ms ~= 50.00*RT, ~119000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 119 BUF 0) 
Step #765.00 (1ms ~= 50.00*RT, ~117000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 117 BUF 0) 
Step #770.00 (1ms ~= 50.00*RT, ~115000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 115 BUF 0) 
Step #775.00 (2ms ~= 25.00*RT, ~55500.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 111 BUF 0)  
Step #780.00 (1ms ~= 50.00*RT, ~111000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 111 BUF 0) 
Step #785.00 (2ms ~= 25.00*RT, ~55000.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 110 BUF 0)  
Step #790.00 (1ms ~= 50.00*RT, ~108000.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 108 BUF 0) 
Step #795.00 (2ms ~= 25.00*RT, ~53500.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 107 BUF 0)  
Step #800.00 (1ms ~= 50.00*RT, ~105000.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 105 BUF 0) 
Step #805.00 (2ms ~= 25.00*RT, ~51000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 102 BUF 0)  
Step #810.00 (1ms ~= 50.00*RT, ~99000.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 99 BUF 0)   
Step #815.00 (2ms ~= 25.00*RT, ~48500.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 97 BUF 0)   
Step #820.00 (2ms ~= 25.00*RT, ~47500.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 95 BUF 0)   
Step #825.00 (1ms ~= 50.00*RT, ~92000.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 92 BUF 0)   
Step #830.00 (1ms ~= 50.00*RT, ~88000.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 88 BUF 0)   
Step #835.00 (1ms ~= 50.00*RT, ~87000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 87 BUF 0)   
Step #840.00 (1ms ~= 50.00*RT, ~87000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 87 BUF 0)   
Step #845.00 (1ms ~= 50.00*RT, ~86000.00UPS, TraCI: 4ms, vehicles TOT 935 ACT 86 BUF 0)   
Step #850.00 (1ms ~= 50.00*RT, ~85000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 85 BUF 0)   
Step #855.00 (1ms ~= 50.00*RT, ~85000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 85 BUF 0)   
Step #860.00 (1ms ~= 50.00*RT, ~81000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 81 BUF 0)   
Step #865.00 (1ms ~= 50.00*RT, ~77000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 77 BUF 0)   
Step #870.00 (1ms ~= 50.00*RT, ~75000.00UPS, TraCI: 2ms, vehicles TOT 935 ACT 75 BUF 0)   
Step #875.00 (1ms ~= 50.00*RT, ~74000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 74 BUF 0)   
Step #880.00 (0ms ?*RT. ?UPS, TraCI: 3ms, vehicles TOT 935 ACT 72 BUF 0)                  
Step #885.00 (1ms ~= 50.00*RT, ~70000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 70 BUF 0)   
Step #890.00 (1ms ~= 50.00*RT, ~66000.00UPS, TraCI: 3ms, vehicles TOT 935 ACT 66 BUF 0)   
Step #895.00 (0ms ?*RT. ?UPS, TraCI: 3ms, vehicles TOT 935 ACT 60 BUF 0)                  
Step #900.00 (0ms ?*RT. ?UPS, TraCI: 3ms, vehicles TOT 935 ACT 59 BUF 0)                  
Step #905.00 (0ms ?*RT. ?UPS, TraCI: 2ms, vehicles TOT 935 ACT 56 BUF 0)                  
Step #910.00 (0ms ?*RT. ?UPS, TraCI: 2ms, vehicles TOT 935 ACT 54 BUF 0)                  
